name,rating,rating_count,cost,cuisine,city
Janta Sweet House,4.4,50,200,"Sweets,Bakery",Abohar
theka coffee desi,3.8,100,100,Beverages,Abohar
Singh Hut,3.7,20,250,"Fast Food,Indian",Abohar
Sam Uncle,3.6,20,200,Continental,Abohar
shere punjab veg,4.0,100,150,North Indian,Abohar
Hinglaj Kachori Bhandhar,4.2,20,100,"Snacks,Chaat",Abohar
Sethi Milk Badam,4.2,20,100,"Sweets,Desserts",Abohar
Bharawan Da Dhaba,4.4,50,300,Indian,Abohar
Roll Express,4.0,20,200,Fast Food,Abohar
FOODY MOOD,4.7,20,300,"Fast Food,Chinese",Abohar
Royal Chicken,4.2,20,200,"Mughlai,North Indian",Abohar
Domino's Pizza,4.4,20,400,Pizzas,Abohar
NIKKU VEG THALI,4.1,100,150,North Indian,Abohar
SUDESH FAST FOOD,4.0,20,250,"Bakery,Chinese",Abohar
Bihari da vaishno dhaba,4.0,20,200,North Indian,Abohar
Sharma Bakery,3.5,20,100,Bakery,Adilabad
IFC Restaurant,3.5,100,400,American,Adilabad
Ayappa Fast Food,3.6,20,100,Chinese,Adilabad
Hot N Chill Restaurant,3.5,100,150,"European,Italian",Adilabad
China Kitchen Fast Food,3.1,20,150,"Chinese,Fast Food",Adilabad
Devi Family Restaurant,3.4,50,400,"Indian,Chinese",Adilabad
Hotel Radha Grand Family restaurant,3.5,50,200,Biryani,Adilabad
Hotel Surabhi Grand,3.7,100,300,"Indian,Chinese",Adilabad
Food Court,3.4,50,400,"Indian,Chinese",Adilabad
Minerva Ice Cream,4.0,20,250,Desserts,Adilabad
Lotus Grand Family Restaurant,3.6,50,250,Biryani,Adilabad
Sri Sai Mom's Kitchen Restaurant,3.3,20,400,Biryani,Adilabad
Renuka Hotel,3.1,20,250,South Indian,Adilabad
Tanishq Family Restaurant,3.7,50,250,"Chinese,Indian",Adilabad
KMC Hotel,3.6,20,100,Biryani,Adilabad
Kwality Walls Frozen Dessert and Ice Cream Shop,4.8,20,300,Desserts,Adityapur
La Pino'z Pizza,4.1,500,200,"Pizzas,Fast Food",Adityapur
Chaw Box,3.3,100,300,"Chinese,North Indian",Adityapur
Cafe Coffee Day,3.7,50,300,"Beverages,Snacks",Adityapur
Aditya Inn Restaurant,3.6,100,150,"Biryani,Chinese",Adityapur
Indian Bakery,3.3,100,200,Bakery,Adityapur
The Onyx (Pure veg),3.8,100,300,"Indian,Chinese",Adityapur
NEW GANGOUR SWEETS (Adityapur),4.0,50,200,South Indian,Adityapur
National Bakery,4.4,50,399,"Bakery,Snacks",Adityapur
KFC,4.0,500,400,"American,Snacks",Adityapur
Buddha Delight - Gamharia,3.5,100,200,"Chinese,Indian",Adityapur
Dosa Planet,3.9,500,249,"South Indian,Indian",Adityapur
Pizza Hut,3.3,100,350,Pizzas,Adityapur
Junction,3.9,500,399,"Indian,Chinese",Adityapur
Kolkata Royal Biryani,3.7,500,150,"Biryani,Street Food",Adityapur
Yummerica Fries,3.8,50,400,"American,Beverages",Adityapur
Tandoori Hut,4.4,20,400,"North Indian,Tandoor",Adityapur
Karim's,2.7,20,500,"Snacks,Kebabs",Adityapur
New Gangour Sweets (Bistupur),4.3,100,99,Sweets,Adityapur
Momo Nation Cafe,3.8,50,200,"Nepalese,Chinese",Adityapur
NIC Natural Ice Creams,4.4,500,120,"Ice Cream,Desserts",Adityapur
Haldiram's Prabhuji,4.0,100,300,"North Indian,South Indian",Adityapur
Chowringhee Square,3.5,20,250,"Biryani,North Indian",Adityapur
Kanya Restaurant,4.1,500,200,"North Indian,Chinese",Adityapur
Domino's Pizza,4.1,50,400,Pizzas,Adityapur
Motel Madhuban,4.1,100,499,"Indian,Chinese",Adityapur
Baker Street,4.1,100,150,Bakery,Adityapur
Dasaprakash,4.3,100,400,"South Indian,North Indian",Adityapur
Biryani House,2.9,20,499,"Biryani,Indian",Adityapur
Little Metro,3.9,100,200,"North Indian,Chinese",Adityapur
The Madrasi Hotel,4.3,100,299,South Indian,Adityapur
Grameen Kulfi,4.5,100,120,"Ice Cream,Desserts",Adityapur
Asian Inn,4.0,1000,399,"Indian,Tandoor",Adityapur
Biggies Burger,3.8,100,300,"American,Fast Food",Adityapur
Kaveri (Adityapur),3.5,100,200,Indian,Adityapur
Subway,3.3,100,350,"Healthy Food,Salads",Adityapur
What's up Food,3.6,20,200,Chinese,Adityapur
AUROUS RESTRO LOUNGE,4.0,100,500,"Continental,American",Adityapur
The Novelty,2.7,20,249,"South Indian,Chinese",Adityapur
Anand,4.3,500,299,"South Indian,Indian",Adityapur
Kolkata Biryani - Jugsalai,3.8,50,150,Biryani,Adityapur
The Bawarchi,2.5,20,150,"North Indian,Chinese",Adityapur
BEYOND TEMPTATION,3.3,20,199,"Pizzas,Pastas",Adityapur
Milanee s Kitchen,4.2,100,399,"Bengali,Indian",Adityapur
Al Karim Fast Food,4.2,100,200,"Street Food,Chinese",Adityapur
Raj Sweets and Snackes (Sindhi),3.7,20,200,"Indian,South Indian",Adityapur
The Moti Mahal,3.2,100,399,"Indian,Chinese",Adityapur
Manohar Maharaj & Sons,4.3,50,100,"South Indian,Chaat",Adityapur
Chinese Inn,4.2,50,399,"Chinese,Indian",Adityapur
DELLISH,3.6,20,300,"Chinese,Continental",Adityapur
Ramesh Kulfi,3.3,20,200,"Chinese,North Indian",Adityapur
New Gangour Sweets,4.1,50,200,"Sweets,Snacks",Adityapur
Fakira Chanachur,4.3,20,199,Snacks,Adityapur
Sehat World,3.8,20,50,"Beverages,Italian",Adityapur
Brubeck Bakery,4.1,100,200,"Bakery,Desserts",Adityapur
Annapurna,4.2,20,200,"Chinese,Tandoor",Adityapur
The Chocolate Room,3.7,20,400,"Bakery,Beverages",Adityapur
Le Bon,4.2,100,399,"Bakery,Pizzas",Adityapur
New Chappan Bhog - Bistupur,4.3,20,200,"Sweets,Snacks",Adityapur
TIME OUT,4.1,100,299,"Chaat,South Indian",Adityapur
GUAVA - ALL DAY BISTRO,3.8,50,300,"Chinese,Biryani",Adityapur
Chulha Chauka,3.5,20,100,"Thalis,Indian",Adityapur
Olive  Multicuisine Restaurant,4.0,50,300,"Chinese,North Indian",Adityapur
Hong Kong,4.0,20,400,Chinese,Adityapur
BAKING BOND,4.4,20,199,"Bakery,Desserts",Adityapur
Blooms,3.8,50,250,Indian,Adityapur
Chai Break,4.3,20,400,"North Indian,Chinese",Adityapur
BIRYANI  WALE,2.4,50,200,Biryani,Adityapur
Pizza Peddler,3.8,50,200,"Pizzas,Pastas",Adityapur
Veggie Corner( Hotel Nataraj),4.3,20,499,"Pizzas,South Indian",Adityapur
Bhatia Milkshake,4.3,20,299,Beverages,Adityapur
Equinox,4.5,20,400,"Indian,Chinese",Adityapur
Thanco's Natural Ice Cream,4.5,20,299,Ice Cream,Adityapur
Kwality,4.0,20,499,"Indian,Chinese",Adityapur
Bon Appetit,4.1,20,300,"Indian,Chinese",Adityapur
Social 75,4.0,20,399,"Continental,Indian",Adityapur
Baskin Robbins,4.6,50,250,"Desserts,Ice Cream",Adityapur
Sagar's Kitchen Kraft,3.7,50,199,"Indian,Chinese",Adityapur
Lion's Pride,3.5,20,200,North Indian,Adityapur
Chopsticks,3.3,20,499,"Indian,Chinese",Adityapur
New US Pizza,3.6,100,299,"Pizzas,Snacks",Adityapur
Bhook Pyaas,3.5,20,200,"Chinese,Indian",Adityapur
Aditi Foods,3.8,20,100,Indian,Adityapur
Chinimama,4.3,20,199,"Chinese,Biryani",Adityapur
Brunch Italino (Kadma Market),3.9,20,200,"Bakery,Desserts",Adityapur
Chef Corner,3.9,500,299,"Indian,Chinese",Adityapur
AB Palace,3.4,20,200,"Chinese,Indian",Adityapur
Mathura Mistan Bhandar,4.5,100,200,"Sweets,Snacks",Adityapur
Pizzapuram,3.7,100,200,"Pizzas,Italian",Adityapur
Gopal Dosa,4.1,100,100,South Indian,Adityapur
Apna Adda,4.1,50,150,"Chinese,Snacks",Adityapur
Babu Moshai,4.0,50,349,"Indian,Chinese",Adityapur
Junction Restaurant,3.7,1000,399,"Indian,Biryani",Adityapur
The Bihari  Resturant,4.4,50,200,"North Indian,Snacks",Adityapur
Delhi Darbar (Sakchi ),3.7,100,200,"Chinese,Biryani",Adityapur
The Hungry Bird,3.9,500,300,"North Indian,Chinese",Adityapur
Manohar Chat,4.1,100,150,"Chinese,Chaat",Adityapur
Dosa Hut,4.0,100,200,"South Indian,Chinese",Adityapur
Chicago Pizza,3.1,100,299,"Pizzas,Pastas",Adityapur
New Chappan Bhog - Sakchi,4.3,100,200,"Sweets,Snacks",Adityapur
Laziz Pizza,3.9,100,300,"Pizzas,Beverages",Adityapur
SAKCHI MISTAN BHANDAR,4.2,100,200,"Sweets,Snacks",Adityapur
BIKKGANE BIRYANI,4.1,100,350,"Biryani,Hyderabadi",Adityapur
Campus Adda,3.9,100,200,"Chinese,Biryani",Adityapur
NEW KOLKATA ARSALAN BIRYANI,3.8,50,250,"Biryani,Fast Food",Adityapur
Biryani By Kilo,4.1,500,600,"Biryani,Hyderabadi",Adityapur
American Waffle House,4.1,100,200,"Waffle,Ice Cream",Adityapur
Lakhi Egg Roll & Caterer,3.5,100,299,"Chinese,Indian",Adityapur
The White Rose,3.9,100,499,"Indian,Chinese",Adityapur
The Belgian Waffle Co.,4.5,100,200,"Beverages,Desserts",Adityapur
Saffron,4.0,100,400,"Indian,Chinese",Adityapur
Brunch Italiano (sakchi),3.7,50,300,Bakery,Adityapur
Uttar Dakshin,3.7,500,200,"Indian,Chinese",Adityapur
SAGAR RESTAURANT,4.1,20,299,"Indian,Chinese",Adityapur
Silver Spoon,4.2,100,200,Indian,Adityapur
Pappu Hotel,3.0,100,200,"Biryani,Chinese",Adityapur
Shreshtham,3.5,20,200,"Snacks,Sweets",Adityapur
The Biryani Boxx,3.7,20,200,"Biryani,Beverages",Adityapur
BIRYANI BADSHAH,4.1,50,350,"Biryani,Hyderabadi",Adityapur
Tinkoniya Hotel,3.9,50,150,"Snacks,Sweets",Adityapur
Pappu Restaurant,3.4,500,200,"Indian,Biryani",Adityapur
Jalsa Restaurant,4.3,100,200,"Bengali,Indian",Adityapur
Brother's Chaap and Dhaba,4.0,20,200,"North Indian,Snacks",Adityapur
The Dugout,3.7,20,499,"Indian,Chinese",Adityapur
J K Residency,4.1,50,400,"Indian,Continental",Adityapur
MEALS @ ONE,3.5,100,200,"Combo,Indian",Adityapur
Kebabs & Curry,3.8,20,300,"Indian,Chinese",Adityapur
NABJIBAN KULFI,4.2,20,299,"Ice Cream,Pizzas",Adityapur
Momo Square,3.3,50,200,"Tibetan,Nepalese",Adityapur
SAI REGENCY,4.0,100,200,"Indian,Biryani",Adityapur
Jiva Hotel,4.2,100,599,"North Indian,Chinese",Adityapur
Galaxy Sweet & Snacks,3.8,20,150,"Chinese,Snacks",Adityapur
THAALI WALA (Pure Veg Thali),3.2,20,199,"Thalis,Indian",Adityapur
BURGER BUDDY,4.2,100,150,"Burgers,Street Food",Adityapur
VADILAL ICE CREAMS,4.6,50,200,Ice Cream,Adityapur
Fusion Restaurant,3.9,500,350,"North Indian,Chinese",Adityapur
The Height 18,3.0,20,200,"Indian,Chinese",Adityapur
Dosa Cafe (Hotel Ganga Regency),4.5,100,199,South Indian,Adityapur
Hotel Ganga Regency,4.2,1000,399,"Indian,Chinese",Adityapur
BASANT PARCEL,3.6,20,100,"North Indian,Chinese",Adityapur
MURARI BHOJANALAY,4.1,100,199,Indian,Adityapur
PIZZA 99,3.5,20,200,"Pizzas,Burgers",Adityapur
New Gangour Sweets (sakchi),4.2,50,199,"Sweets,Snacks",Adityapur
WOK (Hotel Ganga Regency),3.8,50,400,"Chinese,Continental",Adityapur
Junction Pure Veg Fast Food,3.8,20,200,"Street Food,Chinese",Adityapur
DOSA JUNCTION,3.1,20,150,South Indian,Adityapur
The Cake House,4.5,20,399,Bakery,Adityapur
Kanchan Egg Roll,3.8,20,150,"Chinese,Snacks",Adityapur
PUJA SWEETS BHALUBASA,4.6,50,100,"Bengali,Sweets",Adityapur
Pipal,3.9,100,300,"Indian,Chinese",Adityapur
The Lajij ( Champaran Meat House ),3.6,20,200,"North Indian,Chinese",Adityapur
Anandam,4.4,20,150,"South Indian,North Indian",Adityapur
7th Heaven Bar and Restaurant,3.9,20,250,"Chinese,Indian",Adityapur
PARATHA NATION,3.5,20,200,"Indian,North Indian",Adityapur
The Chinese Monk,4.1,20,200,Chinese,Adityapur
OM SAI RAM MOMOS,4.1,100,100,"Nepalese,Tibetan",Adityapur
Meera Tiffin Service,3.9,20,200,"North Indian,Lucknowi",Adityapur
Mithila Sweets and Bakery,4.2,50,299,"Sweets,Snacks",Adityapur
Anurag Fast Food Centre,4.1,50,150,"Chinese,Fast Food",Adityapur
Shri Hira Sweets,4.4,100,150,"Sweets,Snacks",Adityapur
KHALSA HOTEL,4.1,100,399,"Indian,North Indian",Adityapur
Green Burst,4.0,20,290,"North Indian,Biryani",Adityapur
The Basement,4.2,100,300,"Indian,Tandoor",Adityapur
QUEST REGENCY,4.0,1000,400,"Indian,Biryani",Adityapur
Chakh-Naa,3.9,100,200,Chinese,Adityapur
The Satkar Hotel,4.0,100,200,"Indian,Chinese",Adityapur
Royal Max Bakery,3.9,20,200,Bakery,Adityapur
SHER - E- PUNJAB,3.9,20,200,"Chinese,North Indian",Adityapur
SCRATCH,3.9,20,400,"Chinese,Continental",Adityapur
Up 'n' above,4.0,50,599,"Indian,Chinese",Adityapur
Golmuri Mistan Bhandar,3.8,20,100,"Sweets,Snacks",Adityapur
Food From Home,3.9,20,199,"Indian,Thalis",Adityapur
NEW GANGOUR SWEETS (Mango),4.0,50,200,Sweets,Adityapur
The Crickets Cafe,4.0,100,300,"Indian,Chinese",Adityapur
Delhi Darbar ( Mango ),3.5,20,200,"Biryani,Tandoor",Adityapur
HOTEL DS INTERNATIONAL,4.0,20,300,"North Indian,Chinese",Adityapur
Hungry Kya,4.3,100,200,"Biryani,North Indian",Adityapur
Pure Veg Rasoi,3.6,50,50,Snacks,Adityapur
Kebab Factory,3.6,20,200,"Tandoor,Indian",Adityapur
BARN N BARBECUE.,3.9,20,200,"Chinese,Snacks",Adityapur
FRANKY'S MOMOS,4.4,100,150,"Chinese,Nepalese",Adityapur
Aman Momos,4.2,50,150,"Nepalese,Tibetan",Adityapur
Annapurna New Suruchi Hotel,4.4,100,299,"Indian,South Indian",Adityapur
The Altira Hotel,3.9,50,250,"Chinese,North Indian",Adityapur
KKFC,3.8,50,200,Italian,Adoni
Lassi Shop,3.8,50,150,"Desserts,Ice Cream",Adoni
Deepthi Pure Veg  family restaurant,4.1,100,250,"South Indian,North Indian",Adoni
S Usha Star Restaurant,3.8,50,250,Biryani,Adoni
Shawarma king,3.5,50,150,"Arabian,Lebanese",Adoni
Arya Hotel,4.0,100,150,"North Indian,Chinese",Adoni
Pizza House,4.4,100,199,"Pizzas,Fast Food",Adoni
Friends Restaurant,3.6,100,299,"North Indian,Chinese",Adoni
Chai Adda,3.3,50,150,Beverages,Adoni
Deepthi Veg and nonveg Restaurant,3.6,100,250,"South Indian,North Indian",Adoni
Milatary Hotel,3.5,100,150,Biryani,Adoni
ROTI WALA,2.7,20,199,"Biryani,Healthy Food",Adoni
Gokul Chats,3.4,50,199,"Chinese,Chaat",Adoni
Spicy Hut Parcel Point,3.9,20,200,North Indian,Adoni
SREE TULAJA BHAVANI RESTAURANT,3.5,100,250,Indian,Adoni
Ma Palle Ruchulu,3.0,20,200,South Indian,Adoni
Kumbakarna Biryani House,3.3,50,250,"Biryani,South Indian",Adoni
Only Kabab's,3.6,20,250,"Kebabs,Chinese",Adoni
Biryani's' N' More,3.3,100,250,Biryani,Adoni
Masala Bowl Multicusine Restaurant,2.8,50,250,Biryani,Adoni
Nakshtra pure veg Restaurant,2.8,20,250,"Indian,Chinese",Adoni
Hotel Madhavi,3.4,20,150,South Indian,Adoni
Lassi Spot,3.9,20,250,Ice Cream,Adoni
Daya Hari Chatpata,4.3,1000,300,"North Indian,Chinese",Agartala
KFC,4.0,1000,450,"American,Snacks",Agartala
Sherowali Bhoj- Non Veg Hotel & Restaurant,3.9,1000,300,"Indian,Chinese",Agartala
Sherowali Restaurant and Fast Foods,4.1,1000,200,"North Indian,Bakery",Agartala
Daya Hari Mithai,4.2,500,175,"Indian,Chinese",Agartala
Devi Fast Food,4.1,500,175,"North Indian,Chinese",Agartala
Lets Dimsum,4.0,500,250,"Indian,Chinese",Agartala
Swasti Niramish Hotel,4.0,1000,300,Indian,Agartala
Gopal Mistanna Bhandar,4.0,500,100,Desserts,Agartala
Momos N More,3.9,100,250,"Chinese,Asian",Agartala
Trinayani,3.9,500,200,Indian,Agartala
UK Pizza Hut,3.9,100,300,"American,Pizzas",Agartala
Delicious Fast Food And Tiffin Hub,3.9,500,175,North Indian,Agartala
Shyamasree Restaurant,4.0,500,175,North Indian,Agartala
NATIONAL FAST FOOD,3.7,100,150,"Chinese,North Indian",Agartala
Heritage,3.9,100,300,North Indian,Agartala
0 Dergee Celcius,3.7,100,250,"Desserts,Pizzas",Agartala
Radhe Bol,3.9,100,300,"South Indian,North Indian",Agartala
Cholo Khai,3.7,100,150,"Fast Food,Chinese",Agartala
MANTU BIRYANI,3.7,100,100,"Biryani,Indian",Agartala
New Ashoka Restaurant,3.6,100,250,North Indian,Agartala
Abhishek Hotel and Restaurant,4.0,100,450,"North Indian,Chinese",Agartala
Frespresso,3.5,100,250,North Indian,Agartala
Mrs. Banyan Resturant,3.6,100,125,Indian,Agartala
Eatopia Zannat,3.7,500,450,"Indian,Chinese",Agartala
Cake plaza,4.2,100,8,Bakery,Agartala
Sherowali Sweets,4.4,100,150,"Sweets,Desserts",Agartala
Aroma,3.6,100,200,"Chinese,Indian",Agartala
HOTEL NIRAMISH BHOJANALAY,3.2,100,300,"Indian,Snacks",Agartala
MATKAWALA,3.1,100,200,"Indian,Chinese",Agartala
INSTAMOMO,3.4,20,150,Chinese,Agartala
Hungrilla,3.7,500,250,"North Indian,Chinese",Agartala
Chatpata Cake Corner,4.1,50,150,Bakery,Agartala
Tiffins (From Hungrilla),3.5,100,200,Fast Food,Agartala
OFUI HOTEL & RESTAURANT,3.5,50,150,Indian,Agartala
Delicious Fast Food,3.3,100,150,Indian,Agartala
Momo Magic Cafe,3.8,100,200,"Chinese,North Indian",Agartala
POUSHALI FAST FOOD CENTRE,3.5,100,200,"Biryani,North Indian",Agartala
Swapna Fast Food Center,3.6,100,125,Indian,Agartala
Rupar Tori Hotel & Restaurant,4.0,100,375,Indian,Agartala
Smoke N Spice,3.4,500,200,"Chinese,Indian",Agartala
TAJ_An Exclusive Veg Restaurent,4.2,100,275,North Indian,Agartala
Sherowali Snacks and Bakery,4.5,50,150,"Bakery,Snacks",Agartala
Wow Shawarma,4.3,500,200,Fast Food,Agartala
Hapieee Box,3.4,100,300,"Fast Food,Snacks",Agartala
TARA BIRIYANI,3.5,50,200,"Biryani,Indian",Agartala
The Roll Hut,4.1,100,175,"Chinese,North Indian",Agartala
Hotel Rimi International,3.8,20,1000,"Indian,Continental",Agartala
Bawarchi Kolkata,4.1,100,150,"Indian,Chinese",Agartala
Pizza'ria,3.2,20,275,Continental,Agartala
Litttle Chef Agartala,3.8,100,200,"North Indian,Chinese",Agartala
Mums Kitchen,3.7,50,200,North Indian,Agartala
Bollywood Retro-A music and food hub,4.0,20,300,"Snacks,Tandoor",Agartala
The Fat Chicken,3.5,100,300,North Indian,Agartala
Fresh Bite,3.9,100,100,"Indian,Chinese",Agartala
ME N MOMO,4.4,50,150,"Indian,Asian",Agartala
Ambar restaurant,3.7,20,200,"Thalis,Indian",Agartala
TAIPO,4.2,50,150,"Chinese,Indian",Agartala
Cafe Coffee Day,3.9,100,300,"Beverages,Snacks",Agartala
Kurry Klub,3.7,50,425,"Indian,Chinese",Agartala
The Hungry Port,4.0,500,250,North Indian,Agartala
DEJA VU,3.9,20,300,"Chinese,Indian",Agartala
Barbie Food Stall,3.1,100,150,North Indian,Agartala
INDIAN CAKES & NUTS,3.9,50,350,"Indian,Bakery",Agartala
Ritwika's Food Fresto,3.5,100,200,North Indian,Agartala
Punjab grill,2.9,50,200,"Indian,North Indian",Agartala
Babuana,4.0,100,100,"Indian,Chinese",Agartala
Hungrilla (Homely),3.6,100,200,"Bengali,Thalis",Agartala
Mukhorochak,3.4,20,250,"Bengali,Indian",Agartala
MADHUR KHABAR,2.9,50,100,Chinese,Agartala
Devi- Family Fast Food Center,4.1,20,150,"Indian,Chinese",Agartala
Balaji Sweets and Veg Restaurant,3.6,20,300,North Indian,Agartala
RANNAGHAR,3.3,20,200,"Indian,Chinese",Agartala
Ritwika s Kitchen,3.4,50,150,"Indian,Chinese",Agartala
Grill Nation,3.5,50,500,"Chinese,Combo",Agartala
Sparks- The food hub,4.0,1000,275,Indian,Agartala
7 s Chai,3.9,20,150,"Beverages,Snacks",Agartala
Adi Sankar Hotel,3.3,50,400,North Indian,Agartala
Devi- Golgappa Chat,3.4,20,120,"Chaat,Italian",Agartala
Zaika Restaurant,3.7,100,250,North Indian,Agartala
Kebab Ghar,4.0,100,200,Kebabs,Agartala
CILANTRO Multi Cuisine Restaurant,4.0,100,325,"Thai,Indian",Agartala
THE SERIAL GRILLER,3.5,100,300,"Biryani,Chinese",Agartala
Rahul fast Food Egg Cake,4.5,20,100,Fast Food,Agartala
Hungrilla Vegan (Pure Veg),3.6,20,150,"Indian,Bengali",Agartala
High Tree,3.6,50,150,Indian,Agartala
Baku Tiffin House,4.0,100,200,"Indian,Biryani",Agartala
Domino's Pizza,4.4,100,425,Pizzas,Agartala
Debbarma Food Corner,2.4,50,200,North Eastern,Agartala
CHATHATAK (A COMPLETE TRIBAL FOOD),3.6,50,200,North Eastern,Agartala
Aurum,3.3,50,350,"Snacks,Indian",Agartala
Khunti	Karai,4.1,50,200,Indian,Agartala
Pork Lovers,2.9,20,150,"Biryani,Indian",Agartala
Maa Saradar Ranna Ghor,4.0,100,125,"Indian,Snacks",Agartala
Food Plaza,4.0,20,300,"Chinese,Mughlai",Agartala
BONGO ROSH,3.4,100,300,"North Indian,Chinese",Agartala
SKF FOOD WORLD,3.8,20,150,"Indian,Seafood",Agartala
Rock N Roll,4.5,20,175,"North Indian,Chinese",Agartala
TryMe,3.8,100,200,"Indian,Chinese",Agartala
Hotel VIP International Agartala,2.7,50,300,"Biryani,Kebabs",Agartala
Food Delight,4.2,50,150,Chinese,Agartala
Sherowali Sweets and Fast Food,4.2,100,150,Desserts,Agartala
Smooth Brew Cafe,3.7,20,150,"Bakery,Indian",Agartala
Dawat,3.6,500,300,"Kebabs,Biryani",Agartala
Green House,2.3,20,200,Indian,Agartala
Rajbir Restaurant,4.0,20,150,Indian,Agartala
FULL HOUSE - AQUILARIA CLUBHOUSE,4.3,100,600,"Chinese,Indian",Agartala
AMRITA FAST FOOD CENTRE,4.3,20,200,Snacks,Agartala
TeaoOze (The snacks bar),3.9,50,160,"Snacks,Chinese",Agartala
HML Rooftop Restaurant,3.9,50,450,"Chinese,Biryani",Agartala
Hotel Polo Towers,3.6,50,600,"Indian,Chinese",Agartala
The Food Villa,4.4,20,180,Chinese,Agartala
New Royal Veg,3.7,20,200,"Indian,Chinese",Agartala
Momos 20,3.1,50,125,Indian,Agartala
Tihar Flavours of Jail,3.2,20,200,"Indian,Chinese",Agartala
Ginger,3.9,20,250,"Chinese,Kebabs",Agartala
Maa Bhagawati Bhoj,3.5,100,200,"Indian,Chinese",Agartala
Roasted Beans Cafe,3.5,20,275,"Continental,Pizzas",Agartala
Have Break Momo Stall,3.7,100,150,Chinese,Agartala
Aap Ki Rasoi,3.8,100,150,"Indian,Chinese",Agartala
RAMKRISHNA HOTEL AND RESTAURANT,3.1,20,100,"Indian,Biryani",Agartala
Ajanta Hotel,3.8,50,200,"Thalis,North Indian",Agartala
OXYFEED RESTAURANT,4.0,20,150,"Biryani,Indian",Agartala
Nirmala Hotel & Restaurant,3.6,100,225,"North Indian,Chinese",Agartala
Bong Spice,3.3,20,200,"Indian,Fast Food",Agartala
Roni Punjabi Dhaba,4.0,100,200,North Indian,Agartala
Bhagat Halwai (Dayal Bagh),3.9,1000,250,"Chinese,North Indian",Agra
Mama Chicken Mama Franky House,3.8,1000,200,"Chinese,North Indian",Agra
Om Restaurant,3.9,20,250,North Indian,Agra
Bhagat Halwai & Sons - Shahganj,3.9,1000,250,"South Indian,North Indian",Agra
Deep Corner,3.4,100,300,Desserts,Agra
Bhagat Halwai - Nehru Nagar (Civil Lines),4.0,100,200,"Sweets,South Indian",Agra
La Pino'z Pizza,4.0,500,300,"Pizzas,Fast Food",Agra
The Manoj Restaurant,4.0,100,400,"South Indian,North Indian",Agra
Labbaik Chicken Corner,3.2,100,600,North Indian,Agra
New Pizza King,4.0,500,300,"Pizzas,Italian",Agra
GMB - Gopika Sweets & Restaurant,4.1,100,200,"Sweets,North Indian",Agra
Pushpak Misthan Bhandar,3.9,100,200,"Sweets,Street Food",Agra
Chimmanlal Poori Wale,3.5,500,200,"Desserts,North Indian",Agra
Deviram Royal Restaurant,3.5,50,400,"North Indian,Chinese",Agra
GMB Sweets,4.3,100,200,"Sweets,South Indian",Agra
FNP Cakes n More,3.5,20,200,Desserts,Agra
Biryani & Kebab By Zahid Foods,3.9,20,300,"North Indian,Biryani",Agra
Shan-E-Hind,3.5,100,400,North Indian,Agra
Chimmanlal Puri Wale (Since -1840 - Original),3.7,100,100,North Indian,Agra
McDonald's,3.9,1000,400,American,Agra
Cake House,3.2,1000,150,"Bakery,Desserts",Agra
Pizza Hut,3.7,50,300,Pizzas,Agra
Marwari Rasoi by Hotel Marwari,3.7,20,100,"North Indian,Indian",Agra
Ghar Ka Swad (By Papa Ji's),3.7,500,200,Indian,Agra
Agra Chaat House,3.5,20,150,"Street Food,Snacks",Agra
Agarwal Food Court,3.7,20,200,"North Indian,South Indian",Agra
GOYAL CAKES & BAKES,3.3,50,200,"Bakery,Desserts",Agra
Panchhi Petha,4.5,50,200,Desserts,Agra
pizza cave,3.5,100,100,Pizzas,Agra
Cake Wala,3.8,100,500,Bakery,Agra
Sai food hub,3.9,20,200,Bakery,Agra
The Greener Side,4.0,100,300,"Continental,Desserts",Agra
Cafe Coffee Day,4.4,20,300,"Beverages,Snacks",Agra
Bhawna Sweets,3.6,1000,200,"Sweets,Snacks",Agra
Awadhi Foods,3.9,100,200,North Indian,Agra
Domino's Pizza,4.4,50,400,Pizzas,Agra
Bercos - If you love chinese,4.0,20,400,"Chinese,Thai",Agra
Aahar,4.0,500,400,"North Indian,South Indian",Agra
The Belgian Waffle Co.,4.2,50,200,"Desserts,Beverages",Agra
Delhi 6,4.3,20,180,North Indian,Agra
STAR ULTIMATE PIZZA,3.6,20,200,"Pizzas,Snacks",Agra
Guru Kripa Yadav Dhaba,3.7,100,200,"North Indian,Indian",Agra
Sips and Bites,4.2,50,200,"North Indian,Chinese",Agra
Raj Rasoi Sweets & Restaurant,3.9,500,300,"South Indian,North Indian",Agra
Shri Anand Sakahari Bhojan,3.8,100,200,North Indian,Agra
Manohar Lal Daulat Ram Garg( Gazak Wale),4.2,20,400,Desserts,Agra
Yadav Dhaba Purana,3.6,100,200,North Indian,Agra
Anand hi anand,3.2,20,200,Fast Food,Agra
Ravi Fast Food,4.2,50,200,South Indian,Agra
Shubh Anand Hi Anand Bhojnalaya,3.8,50,400,North Indian,Agra
Jain Restaurant,3.6,100,300,"North Indian,South Indian",Agra
Ashoka Bar,4.0,20,400,North Indian,Agra
Biryani By Kilo,4.1,100,700,"Biryani,Mughlai",Agra
Brijbhog Mishthan Bhandar,4.3,100,100,"Sweets,Street Food",Agra
New Moon Light Restaurant,3.2,20,200,North Indian,Agra
Yadav Dhaba,3.4,50,200,North Indian,Agra
